=== Results of Benchmark ===
Function Type: DFS
Parameter: {'stop_param': 3, 'k': 10}
Total Time: 82.03 s
Total Steps: 406 steps
Max Time: 9.25
Average Steps: 10.15
Average Time: 2.05 s

=== Individual Solutions ===
Instance: 0,   Steps: 11,  time: 1.06
Instance: 1,   Steps: 10,  time: 2.14
Instance: 2,   Steps: 8,  time: 0.25
Instance: 3,   Steps: 11,  time: 8.64
Instance: 4,   Steps: 14,  time: 5.18
Instance: 5,   Steps: 12,  time: 0.14
Instance: 6,   Steps: 10,  time: 0.96
Instance: 7,   Steps: 12,  time: 2.76
Instance: 8,   Steps: 10,  time: 1.43
Instance: 9,   Steps: 3,  time: 0.02
Instance: 10,   Steps: 9,  time: 0.1
Instance: 11,   Steps: 11,  time: 0.62
Instance: 12,   Steps: 14,  time: 3.12
Instance: 13,   Steps: 11,  time: 0.53
Instance: 14,   Steps: 10,  time: 2.03
Instance: 15,   Steps: 12,  time: 1.57
Instance: 16,   Steps: 6,  time: 0.25
Instance: 17,   Steps: 11,  time: 2.39
Instance: 18,   Steps: 6,  time: 0.18
Instance: 19,   Steps: 5,  time: 0.06
Instance: 20,   Steps: 7,  time: 0.14
Instance: 21,   Steps: 10,  time: 4.83
Instance: 22,   Steps: 9,  time: 1.47
Instance: 23,   Steps: 9,  time: 0.13
Instance: 24,   Steps: 11,  time: 0.66
Instance: 25,   Steps: 12,  time: 1.79
Instance: 26,   Steps: 9,  time: 1.2
Instance: 27,   Steps: 13,  time: 9.25
Instance: 28,   Steps: 11,  time: 2.23
Instance: 29,   Steps: 13,  time: 1.67
Instance: 30,   Steps: 9,  time: 0.17
Instance: 31,   Steps: 8,  time: 0.2
Instance: 32,   Steps: 12,  time: 6.54
Instance: 33,   Steps: 12,  time: 2.43
Instance: 34,   Steps: 9,  time: 0.59
Instance: 35,   Steps: 8,  time: 1.35
Instance: 36,   Steps: 13,  time: 6.75
Instance: 37,   Steps: 10,  time: 0.35
Instance: 38,   Steps: 13,  time: 5.04
Instance: 39,   Steps: 12,  time: 1.8
