=== Results of Benchmark ===
Function Type: DFS
Parameter: {'stop_param': 3, 'k': 9}
Total Time: 42.9 s
Total Steps: 410 steps
Max Time: 4.86
Average Steps: 10.25
Average Time: 1.07 s

=== Individual Solutions ===
Instance: 0,   Steps: 11,  time: 1.29
Instance: 1,   Steps: 10,  time: 0.44
Instance: 2,   Steps: 8,  time: 0.28
Instance: 3,   Steps: 11,  time: 3.78
Instance: 4,   Steps: 14,  time: 3.94
Instance: 5,   Steps: 12,  time: 0.51
Instance: 6,   Steps: 10,  time: 0.3
Instance: 7,   Steps: 12,  time: 1.19
Instance: 8,   Steps: 10,  time: 1.8
Instance: 9,   Steps: 3,  time: 0.02
Instance: 10,   Steps: 9,  time: 0.15
Instance: 11,   Steps: 11,  time: 0.48
Instance: 12,   Steps: 14,  time: 1.63
Instance: 13,   Steps: 11,  time: 0.46
Instance: 14,   Steps: 11,  time: 0.92
Instance: 15,   Steps: 12,  time: 0.83
Instance: 16,   Steps: 6,  time: 0.12
Instance: 17,   Steps: 11,  time: 0.7
Instance: 18,   Steps: 6,  time: 0.07
Instance: 19,   Steps: 6,  time: 0.05
Instance: 20,   Steps: 7,  time: 0.05
Instance: 21,   Steps: 10,  time: 1.87
Instance: 22,   Steps: 9,  time: 0.41
Instance: 23,   Steps: 10,  time: 0.26
Instance: 24,   Steps: 10,  time: 0.82
Instance: 25,   Steps: 12,  time: 1.15
Instance: 26,   Steps: 10,  time: 0.68
Instance: 27,   Steps: 13,  time: 4.86
Instance: 28,   Steps: 11,  time: 0.82
Instance: 29,   Steps: 13,  time: 0.47
Instance: 30,   Steps: 9,  time: 0.2
Instance: 31,   Steps: 8,  time: 0.06
Instance: 32,   Steps: 13,  time: 2.73
Instance: 33,   Steps: 12,  time: 1.06
Instance: 34,   Steps: 9,  time: 0.32
Instance: 35,   Steps: 8,  time: 0.99
Instance: 36,   Steps: 13,  time: 4.58
Instance: 37,   Steps: 10,  time: 0.19
Instance: 38,   Steps: 13,  time: 2.1
Instance: 39,   Steps: 12,  time: 0.32
