=== Results of Benchmark ===
Function Type: DFS
Parameter: {'stop_param': 1.5, 'k': 7}
Total Time: 12.0 s
Total Steps: 415 steps
Max Time: 1.34
Average Steps: 10.38
Average Time: 0.3 s

=== Individual Solutions ===
Instance: 0,   Steps: 11,  time: 0.43
Instance: 1,   Steps: 10,  time: 0.06
Instance: 2,   Steps: 8,  time: 0.11
Instance: 3,   Steps: 11,  time: 0.63
Instance: 4,   Steps: 15,  time: 0.82
Instance: 5,   Steps: 12,  time: 0.75
Instance: 6,   Steps: 10,  time: 0.43
Instance: 7,   Steps: 12,  time: 0.82
Instance: 8,   Steps: 10,  time: 1.34
Instance: 9,   Steps: 3,  time: 0.01
Instance: 10,   Steps: 9,  time: 0.11
Instance: 11,   Steps: 11,  time: 0.17
Instance: 12,   Steps: 14,  time: 0.39
Instance: 13,   Steps: 11,  time: 0.13
Instance: 14,   Steps: 11,  time: 0.17
Instance: 15,   Steps: 12,  time: 0.14
Instance: 16,   Steps: 7,  time: 0.06
Instance: 17,   Steps: 11,  time: 0.1
Instance: 18,   Steps: 6,  time: 0.03
Instance: 19,   Steps: 6,  time: 0.02
Instance: 20,   Steps: 7,  time: 0.03
Instance: 21,   Steps: 10,  time: 0.56
Instance: 22,   Steps: 10,  time: 0.1
Instance: 23,   Steps: 11,  time: 0.14
Instance: 24,   Steps: 11,  time: 0.21
Instance: 25,   Steps: 12,  time: 0.31
Instance: 26,   Steps: 10,  time: 0.17
Instance: 27,   Steps: 13,  time: 0.64
Instance: 28,   Steps: 11,  time: 0.13
Instance: 29,   Steps: 13,  time: 0.12
Instance: 30,   Steps: 9,  time: 0.13
Instance: 31,   Steps: 8,  time: 0.03
Instance: 32,   Steps: 13,  time: 0.96
Instance: 33,   Steps: 12,  time: 0.19
Instance: 34,   Steps: 9,  time: 0.11
Instance: 35,   Steps: 8,  time: 0.29
Instance: 36,   Steps: 13,  time: 0.69
Instance: 37,   Steps: 10,  time: 0.05
Instance: 38,   Steps: 13,  time: 0.35
Instance: 39,   Steps: 12,  time: 0.08
