=== Results of Benchmark ===
Function Type: DFS
Parameter: {'stop_param': 2, 'k': 7}
Total Time: 30.61 s
Total Steps: 410 steps
Max Time: 3.38
Average Steps: 10.25
Average Time: 0.77 s

=== Individual Solutions ===
Instance: 0,   Steps: 11,  time: 0.46
Instance: 1,   Steps: 10,  time: 0.83
Instance: 2,   Steps: 8,  time: 0.12
Instance: 3,   Steps: 11,  time: 2.53
Instance: 4,   Steps: 14,  time: 1.29
Instance: 5,   Steps: 12,  time: 0.08
Instance: 6,   Steps: 10,  time: 0.43
Instance: 7,   Steps: 12,  time: 1.49
Instance: 8,   Steps: 10,  time: 0.59
Instance: 9,   Steps: 3,  time: 0.01
Instance: 10,   Steps: 9,  time: 0.12
Instance: 11,   Steps: 11,  time: 0.23
Instance: 12,   Steps: 14,  time: 2.24
Instance: 13,   Steps: 11,  time: 0.3
Instance: 14,   Steps: 10,  time: 0.75
Instance: 15,   Steps: 12,  time: 0.51
Instance: 16,   Steps: 7,  time: 0.12
Instance: 17,   Steps: 11,  time: 0.71
Instance: 18,   Steps: 6,  time: 0.12
Instance: 19,   Steps: 5,  time: 0.06
Instance: 20,   Steps: 7,  time: 0.06
Instance: 21,   Steps: 10,  time: 2.6
Instance: 22,   Steps: 9,  time: 0.7
Instance: 23,   Steps: 11,  time: 0.12
Instance: 24,   Steps: 11,  time: 0.2
Instance: 25,   Steps: 12,  time: 0.44
Instance: 26,   Steps: 10,  time: 0.49
Instance: 27,   Steps: 13,  time: 3.38
Instance: 28,   Steps: 11,  time: 0.87
Instance: 29,   Steps: 13,  time: 0.76
Instance: 30,   Steps: 9,  time: 0.06
Instance: 31,   Steps: 8,  time: 0.07
Instance: 32,   Steps: 12,  time: 2.42
Instance: 33,   Steps: 12,  time: 0.85
Instance: 34,   Steps: 9,  time: 0.34
Instance: 35,   Steps: 8,  time: 0.74
Instance: 36,   Steps: 13,  time: 1.73
Instance: 37,   Steps: 10,  time: 0.16
Instance: 38,   Steps: 13,  time: 1.08
Instance: 39,   Steps: 12,  time: 0.57
