=== Results of Benchmark ===
Function Type: DFS
Parameter: {'stop_param': 3, 'k': 9}
Total Time: 38.95 s
Total Steps: 410 steps
Max Time: 4.45
Average Steps: 10.25
Average Time: 0.97 s

=== Individual Solutions ===
Instance: 0,   Steps: 11,  time: 1.2
Instance: 1,   Steps: 10,  time: 0.37
Instance: 2,   Steps: 8,  time: 0.22
Instance: 3,   Steps: 11,  time: 3.39
Instance: 4,   Steps: 14,  time: 3.58
Instance: 5,   Steps: 12,  time: 0.45
Instance: 6,   Steps: 10,  time: 0.25
Instance: 7,   Steps: 12,  time: 1.13
Instance: 8,   Steps: 10,  time: 1.76
Instance: 9,   Steps: 3,  time: 0.02
Instance: 10,   Steps: 9,  time: 0.14
Instance: 11,   Steps: 11,  time: 0.43
Instance: 12,   Steps: 14,  time: 1.4
Instance: 13,   Steps: 11,  time: 0.4
Instance: 14,   Steps: 11,  time: 0.83
Instance: 15,   Steps: 12,  time: 0.78
Instance: 16,   Steps: 6,  time: 0.11
Instance: 17,   Steps: 11,  time: 0.61
Instance: 18,   Steps: 6,  time: 0.07
Instance: 19,   Steps: 6,  time: 0.03
Instance: 20,   Steps: 7,  time: 0.05
Instance: 21,   Steps: 10,  time: 1.69
Instance: 22,   Steps: 9,  time: 0.35
Instance: 23,   Steps: 10,  time: 0.21
Instance: 24,   Steps: 10,  time: 0.74
Instance: 25,   Steps: 12,  time: 1.05
Instance: 26,   Steps: 10,  time: 0.61
Instance: 27,   Steps: 13,  time: 4.45
Instance: 28,   Steps: 11,  time: 0.73
Instance: 29,   Steps: 13,  time: 0.41
Instance: 30,   Steps: 9,  time: 0.17
Instance: 31,   Steps: 8,  time: 0.04
Instance: 32,   Steps: 13,  time: 2.58
Instance: 33,   Steps: 12,  time: 0.98
Instance: 34,   Steps: 9,  time: 0.26
Instance: 35,   Steps: 8,  time: 0.9
Instance: 36,   Steps: 13,  time: 4.2
Instance: 37,   Steps: 10,  time: 0.17
Instance: 38,   Steps: 13,  time: 1.93
Instance: 39,   Steps: 12,  time: 0.28
