=== Results of Benchmark ===
Function Type: DFS
Parameter: {'stop_param': 2, 'k': 6}
Total Time: 14.78 s
Total Steps: 416 steps
Max Time: 1.41
Average Steps: 10.4
Average Time: 0.37 s

=== Individual Solutions ===
Instance: 0,   Steps: 11,  time: 0.61
Instance: 1,   Steps: 10,  time: 0.1
Instance: 2,   Steps: 8,  time: 0.14
Instance: 3,   Steps: 12,  time: 0.73
Instance: 4,   Steps: 14,  time: 1.41
Instance: 5,   Steps: 12,  time: 0.15
Instance: 6,   Steps: 10,  time: 0.12
Instance: 7,   Steps: 12,  time: 0.39
Instance: 8,   Steps: 11,  time: 0.99
Instance: 9,   Steps: 3,  time: 0.01
Instance: 10,   Steps: 9,  time: 0.11
Instance: 11,   Steps: 11,  time: 0.23
Instance: 12,   Steps: 14,  time: 0.83
Instance: 13,   Steps: 11,  time: 0.17
Instance: 14,   Steps: 11,  time: 0.25
Instance: 15,   Steps: 12,  time: 0.28
Instance: 16,   Steps: 7,  time: 0.08
Instance: 17,   Steps: 11,  time: 0.12
Instance: 18,   Steps: 6,  time: 0.06
Instance: 19,   Steps: 6,  time: 0.02
Instance: 20,   Steps: 7,  time: 0.04
Instance: 21,   Steps: 10,  time: 0.8
Instance: 22,   Steps: 10,  time: 0.14
Instance: 23,   Steps: 11,  time: 0.19
Instance: 24,   Steps: 11,  time: 0.3
Instance: 25,   Steps: 12,  time: 0.46
Instance: 26,   Steps: 10,  time: 0.29
Instance: 27,   Steps: 13,  time: 1.26
Instance: 28,   Steps: 11,  time: 0.24
Instance: 29,   Steps: 13,  time: 0.12
Instance: 30,   Steps: 9,  time: 0.14
Instance: 31,   Steps: 8,  time: 0.03
Instance: 32,   Steps: 13,  time: 1.22
Instance: 33,   Steps: 12,  time: 0.34
Instance: 34,   Steps: 9,  time: 0.14
Instance: 35,   Steps: 8,  time: 0.39
Instance: 36,   Steps: 13,  time: 1.13
Instance: 37,   Steps: 10,  time: 0.06
Instance: 38,   Steps: 13,  time: 0.6
Instance: 39,   Steps: 12,  time: 0.11
