=== Results of Benchmark ===
Function Type: DFS
Parameter: {'stop_param': 3, 'k': 9}
Total Time: 41.88 s
Total Steps: 410 steps
Max Time: 4.78
Average Steps: 10.25
Average Time: 1.05 s

=== Individual Solutions ===
Instance: 0,   Steps: 11,  time: 1.2
Instance: 1,   Steps: 10,  time: 0.41
Instance: 2,   Steps: 8,  time: 0.25
Instance: 3,   Steps: 11,  time: 3.58
Instance: 4,   Steps: 14,  time: 3.71
Instance: 5,   Steps: 12,  time: 0.51
Instance: 6,   Steps: 10,  time: 0.27
Instance: 7,   Steps: 12,  time: 1.14
Instance: 8,   Steps: 10,  time: 1.74
Instance: 9,   Steps: 3,  time: 0.02
Instance: 10,   Steps: 9,  time: 0.15
Instance: 11,   Steps: 11,  time: 0.45
Instance: 12,   Steps: 14,  time: 1.49
Instance: 13,   Steps: 11,  time: 0.45
Instance: 14,   Steps: 11,  time: 0.93
Instance: 15,   Steps: 12,  time: 0.9
Instance: 16,   Steps: 6,  time: 0.13
Instance: 17,   Steps: 11,  time: 0.7
Instance: 18,   Steps: 6,  time: 0.07
Instance: 19,   Steps: 6,  time: 0.04
Instance: 20,   Steps: 7,  time: 0.05
Instance: 21,   Steps: 10,  time: 1.84
Instance: 22,   Steps: 9,  time: 0.4
Instance: 23,   Steps: 10,  time: 0.26
Instance: 24,   Steps: 10,  time: 0.81
Instance: 25,   Steps: 12,  time: 1.12
Instance: 26,   Steps: 10,  time: 0.66
Instance: 27,   Steps: 13,  time: 4.78
Instance: 28,   Steps: 11,  time: 0.81
Instance: 29,   Steps: 13,  time: 0.47
Instance: 30,   Steps: 9,  time: 0.18
Instance: 31,   Steps: 8,  time: 0.06
Instance: 32,   Steps: 13,  time: 2.76
Instance: 33,   Steps: 12,  time: 1.13
Instance: 34,   Steps: 9,  time: 0.32
Instance: 35,   Steps: 8,  time: 0.98
Instance: 36,   Steps: 13,  time: 4.5
Instance: 37,   Steps: 10,  time: 0.18
Instance: 38,   Steps: 13,  time: 2.1
Instance: 39,   Steps: 12,  time: 0.33
