=== Results of Benchmark ===
Function Type: DFS
Parameter: {'stop_param': 1.5, 'k': 7}
Total Time: 13.55 s
Total Steps: 415 steps
Max Time: 1.38
Average Steps: 10.38
Average Time: 0.34 s

=== Individual Solutions ===
Instance: 0,   Steps: 11,  time: 0.78
Instance: 1,   Steps: 10,  time: 0.09
Instance: 2,   Steps: 8,  time: 0.16
Instance: 3,   Steps: 11,  time: 0.91
Instance: 4,   Steps: 15,  time: 1.15
Instance: 5,   Steps: 12,  time: 0.16
Instance: 6,   Steps: 10,  time: 0.11
Instance: 7,   Steps: 12,  time: 0.32
Instance: 8,   Steps: 10,  time: 1.15
Instance: 9,   Steps: 3,  time: 0.02
Instance: 10,   Steps: 9,  time: 0.12
Instance: 11,   Steps: 11,  time: 0.23
Instance: 12,   Steps: 14,  time: 0.52
Instance: 13,   Steps: 11,  time: 0.14
Instance: 14,   Steps: 11,  time: 0.23
Instance: 15,   Steps: 12,  time: 0.17
Instance: 16,   Steps: 7,  time: 0.08
Instance: 17,   Steps: 11,  time: 0.14
Instance: 18,   Steps: 6,  time: 0.04
Instance: 19,   Steps: 6,  time: 0.03
Instance: 20,   Steps: 7,  time: 0.04
Instance: 21,   Steps: 10,  time: 0.73
Instance: 22,   Steps: 10,  time: 0.13
Instance: 23,   Steps: 11,  time: 0.17
Instance: 24,   Steps: 11,  time: 0.29
Instance: 25,   Steps: 12,  time: 0.43
Instance: 26,   Steps: 10,  time: 0.23
Instance: 27,   Steps: 13,  time: 0.84
Instance: 28,   Steps: 11,  time: 0.14
Instance: 29,   Steps: 13,  time: 0.15
Instance: 30,   Steps: 9,  time: 0.13
Instance: 31,   Steps: 8,  time: 0.04
Instance: 32,   Steps: 13,  time: 1.38
Instance: 33,   Steps: 12,  time: 0.26
Instance: 34,   Steps: 9,  time: 0.11
Instance: 35,   Steps: 8,  time: 0.35
Instance: 36,   Steps: 13,  time: 0.95
Instance: 37,   Steps: 10,  time: 0.07
Instance: 38,   Steps: 13,  time: 0.48
Instance: 39,   Steps: 12,  time: 0.08
